Date, Area, Obs, Grid,X,Y,Lat,Long, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments,
2022/04/17 12:20,Creag Meagaidh,TR,451891,245100,789100,56.967093,-4.5495269,570,360,0,Coire Ardair,8.1,180.00,10,100,0 - None,0,0,0,0,0,4,180,20,Low,Low,0,,,234,0,20,0,2,0,0,"Patchy, isothermal snowpack. Weather obs only.",
2022/04/17 12:10,Northern Cairngorms,KG,997042,299700,704200,56.219756,-3.6190145,1020,40,30,Cas Ridge E side,5.3,225.00,25,100,0 - None,0,110,5,0,0,4,173,39,Low,Low,0,0,2,328,0,20,0,2,0,0,,
2022/04/17 12:00,Lochaber,GM,,,,,,675,,0,Ben Nevis,8.7,255.00,10,100,0 - None,0,0,0,0,0,3.6,,0,Low,Low,0,,,210,0,20,0,2,0,0,Weather observations only. Stable snowpack,
2022/04/17 11:57,Torridon,AC,150776,215000,777600,56.852869,-5.0355143,341,187,10,"Meall an t-Sithe, The Fain.",12.1,135.00,8,100,0 - None,0,0,0,0,0,4,180,20,Low,Low,0,,,256,0,20,0,2,0,0,No snow at observation site.,
2022/04/17 11:30,Southern Cairngorms,SN,206847,220600,784700,56.918763,-4.9488341,950,350,20,Carn an t-Sagairt Mor,5.5,180.00,15,100,0 - None,0,48,2,0,0,6.2,190,30,Low,Low,0,0,2,170,0,20,0,2,0,0,,
2022/04/17 11:10,Glencoe,PM,257504,225700,750400,56.612957,-4.8418044,940,70,36,Meall a\' Bhuiridh,5.1,180.00,7,100,0 - None,0,70,10,0,1,4.5,200,10,Low,Low,0,0,1,272,0,20,0,2,0,0,Stable snowpack.,
2022/04/16 12:45,Creag Meagaidh,TR/WS,391861,239100,786100,56.938123,-4.6461921,900,142,30,"Coire na h-Uamha, Beinn a Chaorainn",6,180.00,25,100,0 - None,0,57,6,0,0,4.3,177,30,Low,Low,0,0,2,234,0,20,0,2,0,0,"Patchy, thawing, stable snowpack.",
2022/04/16 12:00,Lochaber,GM,,,,,,1200,,0,Aonach Mor,0,,0,100,0 - None,0,0,0,0,0,4.2,135,25,Low,Low,0,,,210,0,20,0,2,0,0,Stable snowpack. Weather observations only,
2022/04/16 11:45,Southern Cairngorms,SN,160770,216000,777000,56.847883,-5.0187069,970,20,30,"Coire Fionn, Glas Maol",4.5,180.00,5,100,0 - None,0,38,2,0,0,4.7,180,24,Low,Low,0,0,1,170,0,20,0,2,0,0,,
2022/04/16 11:30,Northern Cairngorms,KG,995034,299500,703400,56.212529,-3.6219347,935,150,25,Moraines Sneachda,4.8,40.00,25,100,0 - None,0,50,5,0,0,3,165,33,Low,Low,0,0,2,328,0,20,0,2,0,0,,
2022/04/16 11:10,Torridon,KM,992633,299200,763300,56.750386,-3.6499548,550,,0,Loch Allt an Daraich (Beinn Eighe),9,160.00,10,90,0 - None,0,0,0,0,0,6,160,15,Low,Low,0,,,256,0,20,0,2,0,0,No snow data.,
2022/04/16 10:50,Glencoe,PM,257504,225700,750400,56.612957,-4.8418044,940,70,35,Meall a\' Bhuiridh,5.6,160.00,5,100,0 - None,0,70,12,0,0,4.4,155,7,Low,Low,0,0,1,272,0,20,0,1,0,0,Stable snowpack.,
2022/04/15 12:45,Southern Cairngorms,PN,252856,225200,785600,56.928597,-4.8739951,850,30,26,"Lochnagar, around practice rocks.",6.8,35.00,6,100,0 - None,0,60,3,0,0,7,180,25,Low,Low,0,0,2,170,0,20,0,1,0,0,,
2022/04/15 12:28,Glencoe,PM,257507,225700,750700,56.615649,-4.8420067,860,65,33,Meall a\' Bhuiridh,5,160.00,6,100,0 - None,0,50,8,0,0,3.9,162,20,Low,Low,0,0,1,272,0,20,0,1,0,0,,
2022/04/15 12:00,Northern Cairngorms,KG,980025,298000,702500,56.204127,-3.6457614,950,60,25,Twin Burns Lochain,5.2,180.00,25,80,0 - None,0,40,5,0,0,4,187,19,Low,Low,0,0,2,328,0,20,0,2,0,0,,
2022/04/15 12:00,Torridon,KM,940610,294000,761000,56.728579,-3.7339934,630,,0,Beinn Eigh: Coire Mhic Fhearchair,9.7,170.00,5,100,0 - None,0,0,0,0,0,6,160,10,Low,Low,0,,,256,0,20,0,2,0,0,No snow at site.,
2022/04/15 11:45,Creag Meagaidh,GP,427885,242700,788500,56.960898,-4.5885847,915,100,15,"Inner Coire, Coire Ardair, Approach slopes to the window",6.4,100.00,20,95,0 - None,0,130,1,0,0,5,155,22,Low,Low,0,0,1,234,0,20,0,2,0,0,,
2022/04/15 11:00,Lochaber,GM,187744,218700,774400,56.82562,-4.972652,950,345,20,Aonach Mor Met readings,6.8,10.00,15,90,0 - None,0,40,5,0,0,3.8,,0,Low,Low,0,0,0,210,0,20,0,2,0,0,Stable snowpack,
2022/04/14 13:10,Southern Cairngorms,PN,159771,215900,777100,56.848741,-5.0204164,910,45,30,Corrie Fionn,4.2,200.00,6,100,0 - None,0,80,3,0,0,5,276,17,Low,Low,0,0,3,170,0,20,0,1,0,0,"Cloud base at 700 metres, little visibility on hill today.",
2022/04/14 12:00,Creag Meagaidh,WS,452895,245200,789500,56.970716,-4.5481291,700,,0,Coire a Chriochaerin,8.1,180.00,10,100,0 - None,0,0,0,0,1,6,180,18,Low,Low,0,,,234,0,20,0,2,0,0,Weather Obs only / no snow at site,
2022/04/14 11:20,Glencoe,PM,257503,225700,750300,56.612059,-4.8417369,930,65,34,Meall a' Bhuiridh,5,218.00,6,100,0 - None,0,60,13,0,1,5,215,10,Low,Low,0,0,1,272,0,20,0,2,0,0,Thawing snowpack.,
2022/04/14 11:20,Lochaber,GP,173371,217300,737100,56.490433,-4.9691119,1080,120,35,Carn Dearg Meadhonach,5.5,210.00,30,100,0 - None,0,44,1,0,0,4.6,220,25,Low,Low,0,0,1,210,0,20,0,2,0,0,,
2022/04/14 11:05,Northern Cairngorms,AT,994020,299400,702000,56.199935,-3.6230149,1082,93,25,Coire Domhain,5.7,275.00,5,80,0 - None,0,380,8,0,1,4,276,24,Low,Low,0,0,2,328,0,20,0,2,0,0,,
2022/04/14 11:05,Torridon,KM,966595,296600,759500,56.715693,-3.6909175,800,120,30,Beinn Eighe: Coire an Laoigh,6.2,160.00,10,100,0 - None,0,65,12,0,1,5,180,10,Low,Low,0,0,1,256,0,20,0,2,0,0,,
2022/04/13 12:00,Creag Meagaidh,WS,449895,244900,789500,56.970616,-4.5530587,700,,0,"Coire a Chriochaerin, Boundary Wall gully",6,270.00,10,100,,0,0,0,0,1,3,270,26,,,0,,,234,0,20,0,2,0,0,"Weather obs only; cloudy, damp and misty no snow at site",
2022/04/13 11:45,Glencoe,AP,258503,225800,750300,56.612097,-4.8401097,900,45,35,Meall a Bhuiridh,4.2,240.00,15,100,0 - None,0,60,10,0,1,3,245,21,Low,Low,0,0,2,272,0,20,0,2,0,0,Overnight rain mainly dry today,
2022/04/13 11:30,Southern Cairngorms,PN,210844,221000,784400,56.916227,-4.9420607,1000,45,28,"Carn an t-Saggairt Mor, NE aspect.",1.4,325.00,10,100,0 - None,0,60,8,0,0,2.8,181,14,Low,Low,0,0,3,170,0,20,0,1,0,0,,
2022/04/13 11:20,Northern Cairngorms,AT,998033,299800,703300,56.211695,-3.6170622,1105,263,40,"Windy Col, Coire an t-Sneachda",0.9,281.00,25,100,4 - Light Showers,0,225,10,0,1,1,160,16,Low,Moderate,0,0,1,324,0,20,0,2,0,0,,
2022/04/13 11:00,Lochaber,GM,187745,218700,774500,56.826517,-4.9727231,900,15,15,Aonach Mor Met readings,6.3,280.00,10,100,0 - None,0,40,2,0,0,2.5,,0,Low,Low,0,0,0,210,0,20,0,2,0,0,Stable snowpack,
2022/04/13 10:47,Torridon,AC,150776,215000,777600,56.852869,-5.0355143,337,181,10,"Meall an t-Sithe, Fain.",7.3,34.00,1,100,2 - Trace,0,0,0,0,1,3,315,9,Low,Low,0,,,254,0,20,0,2,0,0,No snow at observation site.,
2022/04/12 12:48,Southern Cairngorms,PN,160772,216000,777200,56.849678,-5.0188515,930,30,24,Corrie Fionn,1.9,145.00,10,100,0 - None,0,80,8,0,0,2.4,139,45,Low,Low,0,0,2,170,0,20,0,1,0,0,,
2022/04/12 12:45,Creag Meagaidh,TR,446876,244600,787600,56.953464,-4.5568193,910,272,25,"Coire nan Gamhna, Coire Ardair",3.2,160.00,5,100,2 - Trace,0,83,11,0,0,1,165,15,Low,Low,0,0,1,232,0,20,0,2,0,0,"Snow profile on an isolated patch of older windslab set amongst wide expanses of coarse-grained old snow. Very poor visibility above 750m. Worrying rumbling noise from upper Coire Ardair at 1230hrs - possibly falling ice, rocks or cornice?",
2022/04/12 12:28,Torridon,GP,985607,298500,760700,56.726886,-3.660366,900,140,30,"Creag Dubh, Beinn Eighe",2.3,120.00,15,100,0 - None,0,63,15,0,0,2,110,15,Low,Low,0,0,1,254,0,20,0,2,0,0,,
2022/04/12 12:00,Glencoe,AP,256507,225600,750700,56.615611,-4.8436341,900,20,25,Meall a Bhuiridh,2.2,100.00,20,100,0 - None,0,50,10,0,1,2,90,17,Low,Low,0,0,3,272,0,20,0,2,0,0,"Thick mist and occasional drizzle today, overnight rain.",
2022/04/12 11:55,Northern Cairngorms,JS KG MD,001041,210000,741000,56.52253,-5.0903388,1080,290,25,Coire Cas ,1.2,120.00,10,100,0 - None,0,80,12,0,0,0,139,45,Low,Moderate,0,0,3,324,0,20,0,2,0,0,,
